Inactive,Placement,n,return_category
inactive- 1,placement- 1,22,inactive- 1 - placement- 1
inactive- 2,placement- 1,18,inactive- 2 - placement- 1
inactive- 2,placement- 2,2,inactive- 2 - placement- 2
inactive- 2,placement- 4,2,inactive- 2 - placement- 4
inactive- 3,placement- 1,3,inactive- 3 - placement- 1
inactive- 4,placement- 1,2,inactive- 4 - placement- 1
inactive- 8,placement- 4,1,inactive- 8 - placement- 4
inactive- 10,placement- 2,1,inactive- 10 - placement- 2
inactive- 0,placement- 1,21,inactive- 0 - placement- 1
inactive- 0,placement- 2,3,inactive- 0 - placement- 2
inactive- 0,placement- 4,1,inactive- 0 - placement- 4
