month,year,Outcome
Oct,2013,Notification
Nov,2013,Evaluation
Nov,2013,Referral
Nov,2013,Placement
Nov,2013,Elig_team_meet
Sep,2015,Placement
July,2016,Placement
July,2016,Placement
Aug,2016,Placement
Sep,2017,Placement
Nov,2017,Placement
Sep,2018,Placement
Apr,2019,Placement
Sep,2019,Inactive
Oct,2013,Notification
Oct,2013,Evaluation
Oct,2013,Referral
Nov,2013,Placement
Nov,2013,Elig_team_meet
June,2016,Placement
July,2016,Placement
Aug,2016,Placement
Sep,2019,Inactive
Nov,2013,Inactive
Mar,2015,Notification
Apr,2015,Inactive
Mar,2016,Notification
Mar,2016,Inactive
Mar,2016,Notification
Mar,2016,Evaluation
Mar,2016,Referral
June,2016,Elig_team_meet
June,2016,Placement
Sep,2016,Placement
Sep,2017,Placement
Sep,2018,Placement
Mar,2019,Inactive
Jan,2014,Notification
Feb,2014,Inactive
June,2014,Notification
July,2014,Inactive
July,2014,Notification
Sep,2014,Inactive
Mar,2015,Inactive
June,2017,Referral
July,2017,Screening
July,2017,Evaluation
Aug,2017,Placement
Aug,2017,Elig_team_meet
Sep,2018,Placement
Sep,2019,Inactive
Jan,2014,Notification
Jan,2014,Evaluation
Jan,2014,Referral
Feb,2014,Elig_team_meet
Feb,2014,Placement
Feb,2015,Inactive
Sep,2016,Notification
Nov,2016,Evaluation
Nov,2016,Referral
Nov,2016,Elig_team_meet
Nov,2016,Placement
Dec,2016,Inactive
Jan,2017,Elig_team_meet
Jan,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Feb,2014,Notification
Mar,2014,Inactive
Apr,2014,Notification
July,2014,Inactive
Oct,2015,Notification
Nov,2015,Referral
Nov,2015,Evaluation
Nov,2015,Placement
Nov,2015,Elig_team_meet
Aug,2016,Placement
Sep,2016,Placement
Sep,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Feb,2014,Notification
Feb,2014,Evaluation
Feb,2014,Referral
Feb,2014,Placement
Feb,2014,Elig_team_meet
Dec,2015,Placement
July,2016,Placement
July,2016,Placement
July,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Feb,2014,Notification
Mar,2014,Evaluation
Mar,2014,Referral
Apr,2014,Elig_team_meet
Apr,2014,Placement
Apr,2015,Inactive
Mar,2018,Referral
Mar,2018,Evaluation
Mar,2018,Screening
June,2018,Elig_team_meet
June,2018,Placement
Sep,2019,Inactive
Feb,2014,Notification
Feb,2014,Evaluation
Feb,2014,Referral
Mar,2014,Elig_team_meet
Mar,2014,Placement
Oct,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Oct,2017,Placement
July,2018,Placement
Sep,2018,Placement
Sep,2019,Inactive
Mar,2014,Evaluation
Mar,2014,Referral
Mar,2014,Notification
Mar,2014,Placement
Mar,2014,Elig_team_meet
Sep,2016,Placement
Dec,2016,Placement
Jan,2017,Placement
Jan,2017,Inactive
Nov,2017,Evaluation
Nov,2017,Screening
Nov,2017,Referral
Nov,2017,Placement
Nov,2017,Elig_team_meet
Sep,2019,Inactive
Mar,2014,Evaluation
Mar,2014,Referral
Mar,2014,Notification
Apr,2014,Placement
Apr,2014,Elig_team_meet
Jan,2016,Inactive
Mar,2016,Notification
Apr,2016,Inactive
Apr,2016,Notification
Mar,2016,Inactive
Sep,2016,Notification
Sep,2016,Referral
Sep,2016,Evaluation
Oct,2016,Elig_team_meet
Oct,2016,Placement
Nov,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2019,Inactive
Mar,2014,Evaluation
Mar,2014,Referral
Mar,2014,Notification
Apr,2014,Inactive
Mar,2014,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Oct,2016,Placement
Oct,2016,Placement
Oct,2016,Placement
Jan,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Feb,2014,Notification
Mar,2014,Inactive
Apr,2018,Referral
Apr,2018,Evaluation
Apr,2018,Screening
July,2018,Placement
July,2018,Elig_team_meet
Sep,2019,Inactive
Apr,2014,Notification
Apr,2014,Referral
Apr,2014,Evaluation
Mar,2014,Placement
Mar,2014,Elig_team_meet
Sep,2016,Placement
Feb,2017,Inactive
Nov,2017,Referral
Nov,2017,Evaluation
Nov,2017,Screening
Nov,2017,Elig_team_meet
Nov,2017,Placement
Nov,2018,Inactive
Nov,2018,Typ_peer_or_tution
Sep,2019,Inactive
Apr,2014,Referral
Apr,2014,Notification
Apr,2014,Evaluation
Apr,2014,Placement
Apr,2014,Elig_team_meet
Sep,2016,Placement
Oct,2016,Placement
Nov,2016,Placement
Dec,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Apr,2014,Notification
Mar,2014,Evaluation
Mar,2014,Referral
Mar,2014,Placement
Mar,2014,Elig_team_meet
Oct,2015,Placement
Aug,2016,Placement
Aug,2016,Placement
Aug,2016,Placement
Nov,2017,Placement
Sep,2019,Inactive
Apr,2014,Notification
Mar,2014,Evaluation
Mar,2014,Referral
Mar,2014,Placement
Mar,2014,Elig_team_meet
Oct,2015,Placement
Aug,2016,Placement
Aug,2016,Placement
Aug,2016,Placement
Nov,2017,Placement
Sep,2019,Inactive
Apr,2014,Notification
Mar,2014,Inactive
Aug,2014,Notification
Sep,2014,Inactive
Dec,2014,Notification
Jan,2015,Evaluation
Jan,2015,Referral
Jan,2015,Placement
Jan,2015,Elig_team_meet
Jan,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Sep,2017,Placement
June,2019,Inactive
Mar,2014,Notification
Mar,2014,Evaluation
Mar,2014,Referral
June,2014,Placement
June,2014,Elig_team_meet
Sep,2016,Placement
Sep,2016,Placement
Oct,2016,Placement
Oct,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Apr,2014,Notification
Mar,2014,Inactive
Jan,2015,Referral
Jan,2015,Notification
Jan,2015,Evaluation
Feb,2015,Placement
Feb,2015,Elig_team_meet
Apr,2015,Inactive
Mar,2018,Screening
Mar,2018,Referral
Mar,2018,Evaluation
Apr,2018,Elig_team_meet
Mar,2018,Placement
Mar,2019,Inactive
Mar,2014,Referral
Mar,2014,Notification
Mar,2014,Evaluation
June,2014,Placement
June,2014,Elig_team_meet
Feb,2016,Inactive
Oct,2018,Screening
Oct,2018,Referral
Oct,2018,Evaluation
Oct,2018,Elig_team_meet
Nov,2018,Placement
Jan,2019,Placement
Sep,2019,Inactive
Mar,2014,Notification
July,2014,Evaluation
July,2014,Placement
July,2014,Referral
July,2014,Elig_team_meet
Aug,2015,Inactive
Sep,2016,Notification
Oct,2016,Inactive
Apr,2017,Referral
Mar,2017,Screening
Mar,2017,Evaluation
June,2017,Elig_team_meet
June,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Mar,2014,Notification
July,2014,Inactive
July,2014,Notification
Aug,2014,Evaluation
Aug,2014,Referral
Aug,2014,Elig_team_meet
Aug,2014,Placement
July,2016,Placement
July,2016,Placement
July,2016,Placement
Sep,2016,Placement
Feb,2017,Placement
Sep,2019,Inactive
Apr,2014,Notification
June,2014,Inactive
July,2014,Referral
July,2014,Notification
July,2014,Evaluation
July,2014,Placement
July,2014,Elig_team_meet
Sep,2016,Placement
Nov,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Feb,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
June,2014,Referral
June,2014,Notification
June,2014,Evaluation
June,2014,Placement
June,2014,Elig_team_meet
Mar,2017,Placement
Apr,2017,Placement
Apr,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
June,2014,Notification
June,2014,Inactive
Sep,2014,Notification
Nov,2014,Referral
Nov,2014,Evaluation
Nov,2014,Placement
Nov,2014,Elig_team_meet
Sep,2016,Placement
Oct,2016,Placement
Dec,2016,Placement
Jan,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
June,2014,Notification
July,2014,Inactive
July,2014,Notification
Aug,2014,Evaluation
Aug,2014,Referral
Sep,2014,Placement
Sep,2014,Elig_team_meet
Sep,2016,Placement
Jan,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Mar,2017,Placement
Sep,2019,Inactive
June,2014,Notification
July,2014,Evaluation
July,2014,Referral
July,2014,Elig_team_meet
July,2014,Placement
Sep,2016,Placement
Mar,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
June,2014,Notification
July,2014,Referral
July,2014,Evaluation
July,2014,Inactive
Aug,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Sep,2014,Placement
Sep,2014,Elig_team_meet
Mar,2016,Inactive
Mar,2017,Inactive
Mar,2017,Referral
July,2017,Inactive
July,2017,Typ_peer_or_tution
Aug,2017,Inactive
Aug,2017,Screening
Aug,2017,Referral
Aug,2017,Evaluation
Sep,2017,Elig_team_meet
Oct,2017,Placement
Sep,2019,Inactive
July,2014,Notification
Aug,2014,Evaluation
Aug,2014,Referral
Sep,2014,Elig_team_meet
Sep,2014,Placement
July,2016,Placement
Aug,2016,Placement
Aug,2016,Inactive
Nov,2016,Referral
Nov,2016,Evaluation
Nov,2016,Notification
Nov,2016,Screening
Nov,2016,Elig_team_meet
Nov,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
July,2014,Notification
July,2014,Referral
July,2014,Evaluation
July,2014,Placement
July,2014,Elig_team_meet
Sep,2016,Placement
Nov,2016,Placement
Nov,2016,Placement
July,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
July,2014,Notification
July,2014,Inactive
Apr,2015,Notification
July,2015,Inactive
Oct,2016,Referral
Oct,2016,Notification
Dec,2016,Inactive
Nov,2017,Referral
Jan,2018,Inactive
July,2018,Referral
Aug,2018,Screening
Sep,2018,Evaluation
Oct,2018,Placement
Oct,2018,Elig_team_meet
Apr,2019,Placement
Sep,2019,Inactive
July,2014,Inactive
July,2014,Notification
Jan,2015,Notification
Jan,2015,Referral
Jan,2015,Evaluation
Feb,2015,Placement
Feb,2015,Elig_team_meet
July,2016,Placement
Aug,2016,Placement
Aug,2016,Placement
Sep,2017,Placement
July,2019,Inactive
July,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Oct,2014,Inactive
Oct,2014,Evaluation
Oct,2014,Placement
Oct,2014,Referral
Oct,2014,Elig_team_meet
Oct,2014,Notification
Sep,2016,Placement
June,2017,Placement
June,2017,Placement
June,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
July,2014,Notification
July,2014,Evaluation
July,2014,Referral
Aug,2014,Elig_team_meet
Aug,2014,Inactive
Jan,2015,Referral
Jan,2015,Notification
Jan,2015,Evaluation
Feb,2015,Inactive
Feb,2015,Evaluation
Feb,2015,Referral
Feb,2015,Notification
Mar,2015,Placement
Mar,2015,Elig_team_meet
Sep,2015,Placement
Aug,2016,Placement
Sep,2016,Placement
Sep,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
July,2014,Notification
July,2014,Referral
July,2014,Inactive
Dec,2018,Referral
Jan,2019,Screening
Feb,2019,Evaluation
Mar,2019,Elig_team_meet
Mar,2019,Placement
Sep,2019,Inactive
July,2014,Notification
July,2014,Evaluation
July,2014,Referral
Sep,2014,Inactive
Oct,2014,Evaluation
Oct,2014,Referral
Oct,2014,Notification
Oct,2014,Placement
Oct,2014,Elig_team_meet
Aug,2015,Inactive
Nov,2017,Screening
Nov,2017,Referral
Nov,2017,Evaluation
Nov,2017,Elig_team_meet
Nov,2017,Placement
Apr,2019,Inactive
July,2014,Notification
Sep,2014,Referral
Sep,2014,Evaluation
Oct,2014,Placement
Oct,2014,Elig_team_meet
Aug,2016,Placement
Sep,2016,Placement
Oct,2016,Placement
Oct,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Mar,2014,Notification
July,2014,Inactive
Sep,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Oct,2014,Elig_team_meet
Oct,2014,Placement
Oct,2015,Inactive
Mar,2016,Notification
Mar,2016,Elig_team_meet
Mar,2016,Referral
Apr,2016,Placement
Feb,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Aug,2014,Evaluation
Aug,2014,Referral
Aug,2014,Notification
Sep,2014,Placement
Sep,2014,Elig_team_meet
Oct,2014,Placement
Nov,2014,Placement
Nov,2014,Placement
Feb,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Aug,2014,Notification
Oct,2014,Referral
Oct,2014,Evaluation
Nov,2014,Placement
Nov,2014,Elig_team_meet
Mar,2017,Placement
Apr,2017,Placement
Apr,2017,Placement
Sep,2019,Inactive
Aug,2014,Notification
Sep,2014,Referral
Sep,2014,Evaluation
Oct,2014,Placement
Oct,2014,Elig_team_meet
Mar,2015,Inactive
June,2015,Placement
June,2017,Placement
July,2017,Placement
July,2017,Placement
Sep,2017,Placement
Sep,2018,Placement
July,2019,Inactive
Aug,2014,Evaluation
Aug,2014,Referral
Aug,2014,Notification
Sep,2014,Placement
Sep,2014,Elig_team_meet
Sep,2016,Placement
Sep,2016,Placement
Sep,2016,Placement
Sep,2016,Placement
July,2017,Placement
July,2017,Placement
Aug,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Aug,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Oct,2014,Elig_team_meet
Oct,2014,Placement
Mar,2015,Inactive
Nov,2017,Referral
Nov,2017,Elig_team_meet
Dec,2017,Placement
Nov,2018,Placement
Mar,2019,Inactive
Sep,2014,Notification
Oct,2014,Inactive
Oct,2017,Screening
Oct,2017,Referral
Oct,2017,Evaluation
Nov,2017,Elig_team_meet
Nov,2017,Placement
Jan,2018,Placement
Sep,2019,Inactive
Sep,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Oct,2014,Elig_team_meet
Oct,2014,Placement
Oct,2015,Inactive
Mar,2018,Referral
Apr,2018,Screening
Apr,2018,Evaluation
Mar,2018,Elig_team_meet
Mar,2018,Placement
Sep,2019,Inactive
Sep,2014,Notification
Oct,2014,Evaluation
Oct,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Apr,2016,Placement
Jan,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Sep,2014,Notification
Oct,2014,Referral
Oct,2014,Evaluation
Nov,2014,Elig_team_meet
Nov,2014,Inactive
Jan,2015,Notification
Feb,2015,Inactive
Oct,2015,Evaluation
Oct,2015,Referral
Oct,2015,Notification
Nov,2015,Inactive
Mar,2016,Referral
Mar,2016,Notification
Mar,2016,Evaluation
Apr,2016,Placement
Apr,2016,Elig_team_meet
Feb,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Sep,2014,Notification
Sep,2014,Evaluation
Sep,2014,Referral
Oct,2014,Elig_team_meet
Oct,2014,Placement
Apr,2015,Inactive
Jan,2017,Referral
Jan,2017,Inactive
June,2017,Notification
June,2017,Screening
June,2017,Inactive
Sep,2017,Referral
Oct,2017,Inactive
Nov,2017,Screening
Nov,2017,Referral
Nov,2017,Evaluation
Nov,2017,Elig_team_meet
Nov,2017,Placement
Sep,2019,Inactive
Sep,2014,Notification
Nov,2014,Referral
Nov,2014,Evaluation
Nov,2014,Placement
Nov,2014,Elig_team_meet
June,2016,Placement
Sep,2016,Placement
Sep,2016,Placement
Sep,2019,Inactive
Sep,2014,Referral
Sep,2014,Notification
Sep,2014,Evaluation
Oct,2014,Placement
Oct,2014,Elig_team_meet
Sep,2016,Placement
Nov,2016,Placement
Apr,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Jan,2018,Placement
Feb,2018,Placement
Sep,2018,Placement
Oct,2018,Placement
July,2019,Placement
Sep,2019,Inactive
Sep,2014,Notification
Oct,2014,Inactive
Dec,2015,Notification
Jan,2016,Evaluation
Jan,2016,Referral
Jan,2016,Placement
Jan,2016,Elig_team_meet
Sep,2016,Placement
Oct,2016,Placement
Dec,2016,Placement
Dec,2016,Placement
Sep,2017,Placement
Sep,2019,Inactive
Sep,2014,Notification
Oct,2014,Inactive
June,2015,Notification
July,2015,Inactive
Nov,2015,Inactive
Nov,2015,Notification
Jan,2016,Notification
Feb,2016,Inactive
Aug,2016,Inactive
Mar,2017,Referral
Mar,2017,Screening
Apr,2017,Evaluation
Mar,2017,Elig_team_meet
Mar,2017,Placement
Sep,2019,Inactive
Sep,2014,Notification
Oct,2014,Inactive
Feb,2015,Notification
Feb,2015,Referral
Feb,2015,Evaluation
Mar,2015,Inactive
Apr,2015,Evaluation
Apr,2015,Referral
Apr,2015,Notification
Mar,2015,Placement
Mar,2015,Elig_team_meet
Sep,2016,Placement
Mar,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Oct,2014,Notification
Oct,2014,Evaluation
Oct,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Feb,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Oct,2014,Notification
Oct,2014,Evaluation
Oct,2014,Referral
Nov,2014,Placement
Nov,2014,Elig_team_meet
Mar,2015,Inactive
Jan,2016,Elig_team_meet
Jan,2016,Referral
Jan,2016,Notification
Feb,2016,Inactive
Mar,2016,Placement
Mar,2016,Notification
Mar,2016,Elig_team_meet
Mar,2016,Referral
Sep,2016,Inactive
Jan,2019,Screening
Jan,2019,Referral
Feb,2019,Evaluation
Apr,2019,Elig_team_meet
Mar,2019,Placement
Sep,2019,Inactive
Oct,2014,Referral
Oct,2014,Notification
Oct,2014,Evaluation
Nov,2014,Elig_team_meet
Nov,2014,Placement
Sep,2016,Placement
Apr,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2019,Inactive
Oct,2014,Evaluation
Oct,2014,Referral
Oct,2014,Notification
Oct,2014,Placement
Oct,2014,Elig_team_meet
Sep,2016,Placement
Oct,2016,Placement
Mar,2017,Placement
June,2017,Placement
June,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Oct,2014,Notification
Dec,2014,Inactive
July,2015,Notification
Sep,2015,Inactive
Nov,2015,Notification
Nov,2015,Inactive
Jan,2016,Notification
Feb,2016,Evaluation
Feb,2016,Referral
Mar,2016,Elig_team_meet
Mar,2016,Placement
Sep,2017,Placement
Sep,2017,Placement
Sep,2017,Placement
Sep,2018,Inactive
Oct,2014,Notification
Jan,2015,Inactive
Jan,2017,Referral
Jan,2017,Inactive
Feb,2017,Referral
Mar,2017,Screening
Apr,2017,Evaluation
Mar,2017,Elig_team_meet
Mar,2017,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Inactive
Jan,2015,Notification
Feb,2015,Inactive
July,2015,Notification
Aug,2015,Inactive
Nov,2015,Notification
Nov,2015,Inactive
Mar,2016,Inactive
Mar,2017,Referral
Apr,2017,Screening
Apr,2017,Evaluation
June,2017,Elig_team_meet
June,2017,Placement
Sep,2019,Inactive
Nov,2014,Notification
Dec,2014,Inactive
June,2016,Notification
July,2016,Referral
July,2016,Evaluation
July,2016,Elig_team_meet
July,2016,Placement
Sep,2016,Placement
Dec,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Referral
Nov,2014,Evaluation
Nov,2014,Placement
Nov,2014,Elig_team_meet
June,2016,Placement
Dec,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Notification
Nov,2014,Placement
Nov,2014,Elig_team_meet
Sep,2016,Placement
Nov,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Feb,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Nov,2014,Notification
Jan,2015,Inactive
Nov,2015,Evaluation
Nov,2015,Referral
Nov,2015,Notification
Nov,2015,Placement
Nov,2015,Elig_team_meet
July,2016,Inactive
Oct,2016,Referral
Oct,2016,Notification
Oct,2016,Elig_team_meet
Nov,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
June,2015,Placement
June,2015,Placement
June,2015,Placement
Sep,2017,Placement
Sep,2017,Placement
Sep,2017,Placement
Dec,2017,Placement
Jan,2018,Placement
Sep,2018,Placement
Sep,2020,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Placement
Nov,2014,Elig_team_meet
Sep,2016,Placement
Oct,2016,Placement
Feb,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Inactive
Mar,2017,Referral
July,2017,Inactive
Jan,2018,Referral
Feb,2018,Screening
Feb,2018,Evaluation
Feb,2018,Elig_team_meet
Mar,2018,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Feb,2015,Inactive
Jan,2016,Notification
Jan,2016,Elig_team_meet
Jan,2016,Referral
Jan,2016,Placement
July,2017,Placement
Aug,2017,Placement
Aug,2017,Placement
Sep,2018,Placement
July,2019,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Placement
Nov,2014,Elig_team_meet
Sep,2017,Placement
Oct,2017,Placement
Oct,2017,Placement
Dec,2017,Placement
June,2018,Placement
Oct,2018,Inactive
Nov,2014,Notification
Nov,2014,Inactive
Jan,2015,Inactive
Jan,2015,Notification
Aug,2015,Notification
Aug,2015,Evaluation
Aug,2015,Referral
Sep,2015,Inactive
Oct,2015,Evaluation
Oct,2015,Placement
Oct,2015,Referral
Oct,2015,Elig_team_meet
Oct,2015,Notification
Sep,2016,Placement
Nov,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Aug,2017,Placement
Aug,2017,Placement
Sep,2017,Placement
Oct,2017,Placement
Sep,2018,Placement
Sep,2019,Placement
Sep,2020,Inactive
Nov,2014,Notification
Nov,2014,Evaluation
Nov,2014,Referral
Nov,2014,Elig_team_meet
Nov,2014,Placement
Sep,2016,Placement
Mar,2017,Placement
June,2017,Placement
June,2017,Placement
Sep,2017,Placement
Nov,2018,Placement
Sep,2019,Inactive
Dec,2014,Notification
Dec,2014,Inactive
Jan,2015,Referral
Jan,2015,Notification
Jan,2015,Evaluation
Jan,2015,Elig_team_meet
Jan,2015,Placement
June,2016,Inactive
Apr,2017,Referral
Mar,2017,Screening
Mar,2017,Evaluation
June,2017,Elig_team_meet
June,2017,Placement
Sep,2017,Placement
Sep,2019,Inactive
Dec,2014,Notification
Feb,2015,Inactive
June,2015,Notification
July,2015,Inactive
Jan,2017,Inactive
Oct,2017,Referral
Oct,2017,Evaluation
Oct,2017,Screening
Nov,2017,Elig_team_meet
Nov,2017,Placement
Sep,2019,Inactive
Oct,2014,Notification
Dec,2014,Inactive
Jan,2015,Referral
Jan,2015,Notification
Jan,2015,Evaluation
Feb,2015,Placement
Feb,2015,Elig_team_meet
Oct,2015,Inactive
Sep,2016,Inactive
Sep,2016,Notification
Nov,2018,Screening
Nov,2018,Referral
Nov,2018,Evaluation
Nov,2018,Placement
Nov,2018,Elig_team_meet
Mar,2019,Placement
Sep,2019,Placement
Sep,2020,Inactive
Dec,2014,Notification
Jan,2015,Evaluation
Jan,2015,Referral
Jan,2015,Placement
Jan,2015,Elig_team_meet
Sep,2016,Placement
Apr,2017,Placement
June,2017,Inactive
June,2017,Placement
Nov,2017,Evaluation
Nov,2017,Screening
Nov,2017,Referral
Nov,2017,Inactive
Nov,2017,Elig_team_meet
Mar,2018,Referral
June,2018,Inactive
Sep,2018,Inactive
Oct,2018,Referral
Oct,2018,Screening
Nov,2018,Evaluation
Nov,2018,Elig_team_meet
Nov,2018,Placement
July,2019,Placement
Sep,2019,Inactive
Dec,2014,Notification
Jan,2015,Referral
Jan,2015,Evaluation
Jan,2015,Placement
Jan,2015,Elig_team_meet
Oct,2016,Placement
Jan,2017,Placement
Feb,2017,Placement
Feb,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Jan,2015,Notification
Jan,2015,Evaluation
Jan,2015,Referral
Jan,2015,Placement
Jan,2015,Elig_team_meet
Sep,2016,Placement
Jan,2017,Placement
Jan,2017,Placement
Jan,2017,Placement
Sep,2017,Placement
Sep,2018,Placement
Sep,2019,Inactive
Jan,2015,Notification
Feb,2015,Evaluation
Feb,2015,Referral
Mar,2015,Placement
Mar,2015,Elig_team_meet
July,2015,Inactive
Dec,2015,Elig_team_meet
Jan,2016,Placement
Nov,2016,Inactive
Apr,2017,Referral
Mar,2017,Screening
Mar,2017,Evaluation
July,2017,Placement
July,2017,Elig_team_meet
Sep,2017,Placement
Jan,2019,Placement
July,2019,Inactive
Jan,2015,Notification
Feb,2015,Inactive
Sep,2015,Notification
Sep,2015,Evaluation
Sep,2015,Referral
Oct,2015,Elig_team_meet
Oct,2015,Placement
Mar,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Mar,2017,Inactive
Oct,2017,Notification
Nov,2017,Placement
Sep,2019,Inactive
Jan,2015,Notification
Jan,2015,Evaluation
Jan,2015,Referral
Jan,2015,Elig_team_meet
Jan,2015,Placement
July,2017,Placement
Nov,2017,Placement
Nov,2017,Placement
Dec,2017,Placement
Sep,2018,Placement
Sep,2019,Placement
Sep,2020,Inactive
Jan,2015,Evaluation
Jan,2015,Referral
Jan,2015,Notification
Jan,2015,Placement
Jan,2015,Elig_team_meet
July,2015,Placement
Sep,2015,Placement
Sep,2015,Placement
Sep,2017,Placement
Sep,2017,Placement
Sep,2017,Placement
Dec,2017,Placement
Sep,2018,Placement
Sep,2020,Inactive
Dec,2014,Notification
Jan,2015,Inactive
Apr,2016,Notification
June,2016,Inactive
Oct,2016,Notification
Oct,2016,Evaluation
Oct,2016,Referral
Oct,2016,Placement
Oct,2016,Elig_team_meet
Feb,2017,Placement
Mar,2017,Placement
Mar,2017,Placement
Sep,2019,Inactive
Jan,2015,Notification
Feb,2015,Inactive
July,2015,Notification
Aug,2015,Inactive
Nov,2015,Notification
