year,qtr,Outcome,n
2016,Q1,evaluation,59
2016,Q1,elig_team_meet,44
2016,Q1,inactive,66
2016,Q1,notification,127
2016,Q1,placement,37
2016,Q1,referral,65
2016,Q2,evaluation,55
2016,Q2,elig_team_meet,56
2016,Q2,inactive,80
2016,Q2,notification,111
2016,Q2,placement,64
2016,Q2,referral,59
2016,Q3,evaluation,68
2016,Q3,elig_team_meet,50
2016,Q3,inactive,112
2016,Q3,notification,164
2016,Q3,placement,174
2016,Q3,referral,69
2016,Q4,evaluation,106
2016,Q4,elig_team_meet,121
2016,Q4,inactive,95
2016,Q4,notification,133
2016,Q4,placement,210
2016,Q4,referral,112
2016,Q4,screening,12
2017,Q1,evaluation,88
2017,Q1,elig_team_meet,72
2017,Q1,inactive,103
2017,Q1,notification,31
2017,Q1,placement,223
2017,Q1,referral,169
2017,Q1,screening,40
2017,Q2,evaluation,105
2017,Q2,elig_team_meet,99
2017,Q2,inactive,117
2017,Q2,notification,29
2017,Q2,placement,246
2017,Q2,referral,211
2017,Q2,screening,41
2017,Q3,evaluation,117
2017,Q3,elig_team_meet,97
2017,Q3,inactive,114
2017,Q3,notification,33
2017,Q3,placement,416
2017,Q3,referral,177
2017,Q3,screening,64
2017,Q3,typ_peer_or_tution,1
2017,Q4,evaluation,185
2017,Q4,elig_team_meet,203
2017,Q4,inactive,128
2017,Q4,notification,21
2017,Q4,placement,392
2017,Q4,referral,222
2017,Q4,screening,117
2018,Q1,evaluation,156
2018,Q1,elig_team_meet,119
2018,Q1,inactive,111
2018,Q1,notification,22
2018,Q1,placement,305
2018,Q1,referral,229
2018,Q1,screening,73
2018,Q2,evaluation,147
2018,Q2,elig_team_meet,142
2018,Q2,inactive,126
2018,Q2,notification,13
2018,Q2,placement,329
2018,Q2,referral,210
2018,Q2,screening,90
2018,Q3,evaluation,130
2018,Q3,elig_team_meet,132
2018,Q3,inactive,126
2018,Q3,notification,13
2018,Q3,placement,650
2018,Q3,referral,183
2018,Q3,screening,51
2018,Q3,typ_peer_or_tution,4
2018,Q4,evaluation,146
2018,Q4,elig_team_meet,164
2018,Q4,inactive,131
2018,Q4,notification,8
2018,Q4,placement,373
2018,Q4,referral,211
2018,Q4,screening,85
2018,Q4,typ_peer_or_tution,2
2019,Q1,evaluation,193
2019,Q1,elig_team_meet,157
2019,Q1,inactive,127
2019,Q1,notification,15
2019,Q1,placement,449
2019,Q1,referral,249
2019,Q1,screening,110
2019,Q1,typ_peer_or_tution,1
2019,Q2,evaluation,193
2019,Q2,elig_team_meet,225
2019,Q2,inactive,164
2019,Q2,notification,17
2019,Q2,placement,414
2019,Q2,referral,248
2019,Q2,screening,111
2019,Q3,evaluation,199
2019,Q3,elig_team_meet,178
2019,Q3,inactive,586
2019,Q3,notification,19
2019,Q3,placement,693
2019,Q3,referral,256
2019,Q3,screening,129
2019,Q3,typ_peer_or_tution,1
2019,Q4,evaluation,294
2019,Q4,elig_team_meet,355
2019,Q4,inactive,107
2019,Q4,notification,4
2019,Q4,placement,641
2019,Q4,referral,327
2019,Q4,screening,214
2020,Q1,evaluation,174
2020,Q1,elig_team_meet,147
2020,Q1,inactive,100
2020,Q1,notification,8
2020,Q1,placement,416
2020,Q1,referral,206
2020,Q1,screening,128
2020,Q2,evaluation,88
2020,Q2,elig_team_meet,103
2020,Q2,inactive,108
2020,Q2,notification,9
2020,Q2,placement,281
2020,Q2,referral,101
2020,Q2,screening,45
2020,Q3,evaluation,100
2020,Q3,elig_team_meet,83
2020,Q3,inactive,603
2020,Q3,notification,3
2020,Q3,placement,398
2020,Q3,referral,103
2020,Q3,screening,54
2020,Q4,evaluation,170
2020,Q4,elig_team_meet,220
2020,Q4,inactive,109
2020,Q4,notification,9
2020,Q4,placement,413
2020,Q4,referral,156
2020,Q4,screening,104
2021,Q1,evaluation,8
2021,Q1,elig_team_meet,14
2021,Q1,inactive,18
2021,Q1,placement,24
2021,Q1,referral,8
2021,Q1,screening,4
