project_child_id,ref_age_class,ref_source,ref_source_ode,outcome
149282,EI,primary,CAPTA,p
149282,EI to ECSE,secondary,Physician/Clinic,
145254,EI,primary,Physician/Clinic,p
145254,EI,secondary,CAPTA,
145254,EI,secondary,Physician/Clinic,
148021,EI,primary,Hospital,ia
148021,EI,primary,Physician/Clinic,ia
148021,EI,primary,Parents/Family,ia
148021,EI,primary,Parents/Family,p
146738,EI,primary,Physician/Clinic,ia
146738,EI,primary,Other,ia
146738,EI,primary,Other,ia
146738,ECSE,primary,Healthy Families Oregon,p
143348,EI,primary,Hospital,p
143348,EI,primary,Physician/Clinic,p
142431,EI,primary,Physician/Clinic,ia
142431,EI,primary,Physician/Clinic,ia
142431,EI,primary,CAPTA,p
142272,EI,primary,Physician/Clinic,p
144233,EI,primary,CAPTA,p
144233,ECSE,primary,Head Start,p
144331,EI,primary,Other,p
149954,EI,primary,Hospital,p
149954,ECSE,primary,Head Start,p
145352,EI,primary,CAPTA,p
145352,EI,secondary,Physician/Clinic,
145352,EI,primary,CAPTA,ia
145352,EI,primary,CAPTA,ia
145352,EI,primary,Parents/Family,p
143591,EI,primary,Physician/Clinic,ia
143591,EI,primary,CAPTA,p
143591,EI,secondary,Physician/Clinic,
143591,ECSE,secondary,Other DHS,
143591,ECSE,secondary,Physician/Clinic,
141917,EI,primary,Hospital,ia
141917,ECSE,primary,Physician/Clinic,p
141358,EI,primary,Physician/Clinic,p
141358,EI,secondary,CAPTA,
141358,ECSE,primary,Head Start,p
149178,EI,primary,Hospital,p
144615,EI,primary,Public Health,p
144615,EI,secondary,Physician/Clinic,
149520,EI,primary,Public Health,p
149520,EI,secondary,Physician/Clinic,
144514,EI,primary,CAPTA,ia
144514,EI,primary,Other,ia
144514,EI,primary,Other,p
144514,EI,secondary,CAPTA,
147306,EI,primary,Parents/Family,p
140767,EI,primary,Hospital,ia
140767,EI,primary,Physician/Clinic,p
140767,ECSE,primary,Head Start,p
146706,EI,primary,CAPTA,p
146706,EI,secondary,Hospital,
146706,EI to KG,primary,Head Start,p
143328,EI,primary,CAPTA,p
143328,EI,primary,Parents/Family,ia
143328,ECSE,primary,Physician/Clinic,p
148096,EI,primary,CAPTA,ia
148096,EI,primary,CAPTA,p
146538,EI,primary,Hospital,ia
146538,EI,primary,Hospital,p
149258,EI,primary,Hospital,p
149258,EI,secondary,CAPTA,
149676,EI,primary,Physician/Clinic,ia
149676,EI,primary,Other,p
148308,EI,primary,Physician/Clinic,ia
148308,EI,primary,Physician/Clinic,p
142780,EI,primary,Parents/Family,p
142652,EI,primary,Parents/Family,ia
142652,EI,primary,Parents/Family,p
142652,ECSE,primary,Other,ia
142652,ECSE,primary,Parents/Family,p
152475,EI,primary,Physician/Clinic,p
152475,ECSE,primary,Head Start,p
154211,EI,primary,Parents/Family,p
155249,EI,primary,Physician/Clinic,ia
155249,EI,primary,Physician/Clinic,ia
155249,ECSE,primary,Physician/Clinic,ia
155249,ECSE,primary,Physician/Clinic,ia
155249,ECSE,primary,Parents/Family,p
152081,EI,primary,Physician/Clinic,ia
152081,EI,primary,Parents/Family,p
150226,EI,primary,CAPTA,ia
150226,EI,primary,CAPTA,p
159909,EI,primary,Physician/Clinic,ia
159909,EI,primary,Other,ia
159909,EI,primary,Parents/Family,p
153648,EI,primary,Hospital,ia
153648,EI to KG,primary,Parents/Family,p
152892,EI,primary,Hospital,ia
152892,EI,primary,Physician/Clinic,p
152892,ECSE,primary,Head Start,p
155289,EI,primary,CAPTA,p
155289,EI,secondary,Physician/Clinic,
151862,EI,primary,Hospital,ia
151862,EI,primary,Hospital,p
151862,EI,primary,Healthy Families Oregon,p
152641,EI,primary,Physician/Clinic,p
152641,EI,secondary,EHDI,
157874,EI,primary,Parents/Family,p
157874,EI,secondary,Physician/Clinic,
155911,EI,primary,CAPTA,p
152346,EI,primary,Hospital,p
152346,EI,secondary,EHDI,
158698,EI,primary,EHDI,p
158698,ECSE,primary,Parents/Family,p
158947,EI,primary,CAPTA,ia
158947,ECSE,primary,Head Start,p
154494,EI,primary,Hospital,p
154494,ECSE,primary,Parents/Family,p
152774,EI,primary,Parents/Family,p
152774,EI,secondary,CAPTA,
150733,EI,primary,Physician/Clinic,ia
150733,EI,primary,Other,ia
150733,EI,primary,Parents/Family,ia
150733,EI,primary,Healthy Families Oregon,p
158297,EI,primary,Hospital,p
158297,EI,primary,Physician/Clinic,ia
158297,EI to ECSE,primary,CAPTA,ia
158297,ECSE,primary,Other,ia
158297,ECSE,primary,Head Start,p
158297,EI to KG,secondary,Other DHS,
152593,EI,primary,Physician/Clinic,p
152593,EI,secondary,Physician/Clinic,
154831,EI,primary,Parents/Family,p
153211,EI,primary,Physician/Clinic,ia
153211,EI,primary,Physician/Clinic,p
157209,EI,primary,Physician/Clinic,ia
157209,EI,primary,Parents/Family,ia
157209,EI,primary,Other,ia
157209,EI,primary,Parents/Family,ia
157209,ECSE,primary,Parents/Family,p
158436,EI,primary,Physician/Clinic,ia
158436,EI,primary,Parents/Family,ia
158436,EI,primary,Parents/Family,p
152546,EI,primary,CAPTA,p
152546,EI,secondary,Physician/Clinic,
156465,EI,primary,Physician/Clinic,p
156465,EI,primary,Physician/Clinic,ia
156465,EI,primary,Parents/Family,p
156465,EI to KG,primary,Childcare/Preschool,p
152331,EI,primary,Hospital,p
153964,EI,primary,Hospital,p
153964,EI,secondary,Physician/Clinic,
156616,EI,primary,CAPTA,ia
156616,EI,primary,Physician/Clinic,ia
156616,EI,primary,Other,ia
156616,EI,primary,Physician/Clinic,p
156156,EI,primary,Physician/Clinic,ia
156156,ECSE,primary,Physician/Clinic,ia
156156,ECSE,primary,Parents/Family,p
154251,EI,primary,Physician/Clinic,ia
154251,EI,primary,Parents/Family,ia
154251,EI,primary,Parents/Family,ia
154251,EI to ECSE,primary,Physician/Clinic,p
155603,EI,primary,Physician/Clinic,ia
155603,EI,primary,Parents/Family,p
155579,EI,primary,Physician/Clinic,p
154174,EI,primary,Other,p
154174,EI,secondary,Physician/Clinic,
151245,EI,primary,Physician/Clinic,ia
151245,EI,primary,Hospital,p
151245,EI,primary,Physician/Clinic,p
158471,EI,primary,Hospital,p
158201,EI,primary,Physician/Clinic,p
150766,EI,primary,Physician/Clinic,ia
150766,ECSE,primary,Other,ia
150766,ECSE,primary,Physician/Clinic,p
154949,EI,primary,Hospital,p
154949,EI,primary,Physician/Clinic,p
154996,EI,primary,Hospital,p
151718,EI,primary,Other,ia
151718,EI,primary,Other,ia
151718,EI,primary,Parents/Family,ia
151718,EI,primary,Parents/Family,p
154817,EI,primary,Hospital,p
154817,EI,secondary,CAPTA,
154817,EI to ECSE,secondary,CAPTA,
157419,EI,primary,Parents/Family,p
156784,EI,primary,Parents/Family,ia
156784,EI,primary,Other,p
156784,ECSE,primary,Parents/Family,p
154352,EI,primary,Physician/Clinic,ia
154352,EI,primary,Physician/Clinic,ia
154352,ECSE,primary,Head Start,p
154352,ECSE,secondary,Physician/Clinic,
156550,EI,primary,Hospital,ia
156550,EI,primary,Parents/Family,p
156550,EI,primary,Physician/Clinic,ia
156550,ECSE,primary,Childcare/Preschool,p
152043,EI,primary,Parents/Family,p
152043,EI,secondary,CAPTA,
152043,EI,secondary,Physician/Clinic,
152043,ECSE,primary,Childcare/Preschool,ia
152043,ECSE,primary,Childcare/Preschool,ia
152043,EI to KG,primary,Childcare/Preschool,p
153507,EI,primary,Parents/Family,p
153507,EI,secondary,Physician/Clinic,
151694,EI,primary,Parents/Family,p
154145,EI,primary,Physician/Clinic,p
154145,ECSE,primary,Physician/Clinic,p
154145,ECSE,secondary,Other DHS,
156758,EI,primary,Physician/Clinic,ia
156758,EI,primary,Physician/Clinic,p
155498,EI,primary,Physician/Clinic,p
159963,EI,primary,Hospital,p
159963,EI,secondary,CAPTA,
150646,EI,primary,Physician/Clinic,ia
150646,EI,primary,Physician/Clinic,ia
150646,EI,primary,Physician/Clinic,p
150762,EI,primary,Parents/Family,ia
150762,EI,primary,Parents/Family,ia
150762,EI to ECSE,primary,Physician/Clinic,p
158868,EI,primary,Physician/Clinic,ia
158868,ECSE,primary,Physician/Clinic,ia
158868,ECSE,primary,Physician/Clinic,p
159203,EI,primary,Hospital,p
159203,ECSE,primary,Parents/Family,p
155834,EI,primary,Physician/Clinic,ia
155834,ECSE,primary,Head Start,p
159752,EI,primary,Public Health,p
159752,EI to KG,primary,Childcare/Preschool,p
151644,EI,primary,Parents/Family,p
157657,EI,primary,Physician/Clinic,ia
157657,EI,primary,Physician/Clinic,ia
157657,ECSE,primary,Parents/Family,ia
