year,area,ei_elig,ec_elig,total_elig,ei_ref,ec_ref,total_ref,ei_total_qual,ecse_total_qual,total_qual,ei_total_exit,ecse_total_exit,total_exit,ei_total_screen,ecse_total_screen,total_screen,ei_total_eval,ecse_total_eval,total_eval
2015,Lane county,4623,10823,15446,377,1177,1554,47,559,827,149,539,688,0,165,165,47,61,108
2015,Oregon,41727,96698,138425,7260,9305,16565,1585,5091,8209,1417,5340,6757,123,748,748,1585,843,2429
2016,Lane county,4361,11645,16006,427,1135,1562,56,523,825,125,602,727,0,177,177,56,79,135
2016,Oregon,43949,101792,145741,8044,9573,17617,1731,5328,8745,1553,5702,7255,161,784,784,1731,850,2581
2017,Lane county,4472,12094,16566,841,1204,2045,56,571,847,90,608,698,7,175,175,56,63,119
2017,Oregon,46623,104183,150806,8837,10216,19053,1829,5523,9159,1460,5819,7279,171,773,773,1829,764,2593
2018,Lane county,4270,12454,16724,917,1189,2106,40,603,911,126,624,750,92,154,154,40,47,87
2018,Oregon,49115,110793,159908,9271,10418,19689,1774,5827,9677,1741,6047,7788,290,750,750,1774,823,2597
2019,Lane county,4810,13434,18244,767,1248,2015,45,613,922,89,632,721,122,146,220,45,60,105
2019,Oregon,51532,116345,167877,9223,10668,19891,1712,5972,9840,1842,6340,8182,498,631,899,1712,813,2525
2020,Lane county,4340,13267,17607,313,765,1078,26,381,590,105,749,854,143,77,220,26,38,64
2020,Oregon,44767,112822,157589,6535,7243,13778,951,4005,6637,1611,6574,8185,426,354,780,951,427,1378
2021,Lane county,326,876,1202,10,59,69,1,5,6,5,3,8,4,2,6,1,0,1
2021,Oregon,3031,7003,10034,405,418,823,75,208,367,97,101,198,26,11,37,75,24,99
